,hour,day,month,KHOU_temp,KHOU_dewpoint,COAST
109,13,3,1,272.25,269.25,11014.4853840575
110,14,3,1,275.25,268.25,10795.481286695
111,15,3,1,276.25,267.25,10317.8011730406
112,16,3,1,277.25,267.25,10234.335605726
113,17,3,1,279.25,267.25,10310.7228687054
114,18,3,1,280.25,267.25,11041.3151386583
115,19,3,1,281.25,268.25,11853.0688874618
116,20,3,1,282.25,268.25,11928.5252350184
117,21,3,1,282.25,268.25,11669.344904102
118,22,3,1,282.25,267.25,11425.4483225643
119,23,3,1,281.25,267.25,10804.0753084483
120,0,4,1,279.25,270.25,10270.2591
121,1,4,1,277.25,271.25,9268.69427456615
122,2,4,1,276.25,271.25,9082.86072981879
123,3,4,1,276.25,271.25,9089.57659748209
124,4,4,1,275.25,271.25,9123.67784068741
125,5,4,1,275.25,271.25,9444.88021115218
126,6,4,1,274.25,271.25,10078.9108282337
127,7,4,1,274.25,271.25,10974.8312871246
128,8,4,1,274.25,271.25,11096.3175303348
129,9,4,1,273.25,271.25,10887.349023164
130,10,4,1,274.25,271.25,10829.7712203751
131,11,4,1,276.25,272.25,10888.1227317804
132,12,4,1,277.25,274.25,10623.6170947636
133,13,4,1,279.25,276.25,10272.8201434864
134,14,4,1,280.25,276.25,10206.1614075059
135,15,4,1,281.25,277.25,9982.98291686765
136,16,4,1,283.25,279.25,10074.9963463308
137,17,4,1,284.25,279.25,10190.7351030214
138,18,4,1,285.25,280.25,10551.8840668887
139,19,4,1,286.25,280.25,10840.2290664395
140,20,4,1,287.25,280.25,10634.5612159181
141,21,4,1,287.25,281.25,10367.7103769477
142,22,4,1,286.25,281.25,9875.63572258837
143,23,4,1,286.25,282.25,9110.24801455522
144,0,5,1,285.25,282.25,8424.7005
145,1,5,1,285.25,282.25,7879.35971561459
146,2,5,1,285.25,283.25,7620.84743222496
147,3,5,1,285.25,283.25,7473.23903231664
148,4,5,1,285.25,283.25,7567.26458320416
149,5,5,1,287.25,285.25,7851.15812477509
150,6,5,1,287.25,285.25,8608.61126022765
151,7,5,1,287.25,285.25,9478.86384259041
152,8,5,1,286.25,285.25,9848.91145976038
153,9,5,1,286.75,285.5,10317.7904998844
154,10,5,1,286.25,285.25,10979.5535765081
155,11,5,1,285.75,284.75,11005.7692917755
156,12,5,1,285.75,284.75,11206.9802372052
157,13,5,1,285.25,283,11480.8105622875
158,14,5,1,283.25,280.25,11642.9330861687
159,15,5,1,280.75,278.25,11214.2517955661
160,16,5,1,279.25,276.25,11381.5641884962
161,17,5,1,278.25,275.25,11443.2336418263
162,18,5,1,278.25,273.75,12244.5516061686
163,19,5,1,278.75,272.25,12835.6867995502
164,20,5,1,277.25,270.25,12976.8264438353
165,21,5,1,278.25,269.25,12693.9346736363
166,22,5,1,277.25,267.25,12280.0305157263
167,23,5,1,276.25,266.25,11941.4986923754
168,0,6,1,275.25,266.25,11626.4803
169,1,6,1,274.25,265.25,11167.4750550034
170,2,6,1,274.25,264.25,10927.9837985015
171,3,6,1,273.25,263.25,10784.6425998586
172,4,6,1,272.25,263.25,10929.0922519895
173,5,6,1,272.25,262.25,11314.7852927963
174,6,6,1,272.25,262.25,12024.1843384666
175,7,6,1,271.25,261.25,12811.9324562492
176,8,6,1,271.25,261.25,13278.3702304466
177,9,6,1,271.25,261.25,13538.4752012157
178,10,6,1,270.25,260.25,13756.8186869541
179,11,6,1,270.25,260.25,13584.2177814862
180,12,6,1,270.25,260.25,13678.9390710621
181,13,6,1,270.25,260.25,13360.0526122849
182,14,6,1,270.25,260.25,13183.1515905784
183,15,6,1,271.25,260.25,12757.1009020292
184,16,6,1,271.25,260.25,12669.828169207
185,17,6,1,273.25,260.25,12906.0620306873
186,18,6,1,274.25,260.25,13502.9224957608
187,19,6,1,274.25,261.25,14410.5085614921
188,20,6,1,274.25,261.25,14227.3946303918
189,21,6,1,273.25,260.25,13804.3554196373
190,22,6,1,272.25,261.25,13499.4482334458
191,23,6,1,272.25,261.25,12998.0388969262
192,0,7,1,272.25,261.25,12337.5115
193,1,7,1,272.25,261.25,11309.9608435418
194,2,7,1,272.25,261.25,11191.4998702811
195,3,7,1,272.25,261.25,10986.9065672367
196,4,7,1,271.25,261.25,11068.6768215531
197,5,7,1,270.25,262.25,11227.3940140539
198,6,7,1,270.25,262.25,11468.9006586129
199,7,7,1,269.25,261.25,11637.5879533751
200,8,7,1,269.25,262.25,12509.4230591186
201,9,7,1,268.25,262.25,12647.4305480636
202,10,7,1,268.25,261.25,12837.3279486604
203,11,7,1,268.25,261.25,12032.2296947511
204,12,7,1,267.25,262.25,11858.1919447414
205,13,7,1,268.25,262.25,11455.3705597858
206,14,7,1,270.25,262.25,11274.2458628003
207,15,7,1,272.25,261.25,10509.7957259591
208,16,7,1,274.25,260.25,10243.2256992966
209,17,7,1,275.25,260.25,10372.3844739039
210,18,7,1,276.25,261.25,11024.1584340519
211,19,7,1,277.25,261.25,11877.2910931029
212,20,7,1,278.25,260.25,11922.838438644
213,21,7,1,279.25,260.25,11884.8416699199
214,22,7,1,279.25,261.25,11984.9001989001
215,23,7,1,276.25,261.25,11752.8530019045
216,0,1,1,276.25,261.25,11511.9668
217,1,1,1,274.25,264.25,10461.1046476367
218,2,1,1,272.25,264.25,10362.388607779
219,3,1,1,274.25,263.25,10239.7185546045
220,4,1,1,273.25,263.25,10425.6926873191
221,5,1,1,271.25,264.25,10685.8763426149
222,6,1,1,271.25,264.25,10976.7258064414
223,7,1,1,271.25,264.25,11214.8330122871
224,8,1,1,271.25,264.25,11492.3320169816
225,9,1,1,270.25,264.25,11583.3360113825
226,10,1,1,270.25,265.25,11677.9962879621
227,11,1,1,270.25,265.25,11046.8410102717
228,12,1,1,270.25,265.25,11041.9938602314
229,13,1,1,270.25,265.25,10562.8560530049
230,14,1,1,272.25,267.25,10309.2440408081
231,15,1,1,274.25,267.25,9907.05656628267
232,16,1,1,276.25,266.25,9713.49721644443
233,17,1,1,277.25,266.25,9922.82303842338
234,18,1,1,277.25,265.25,10625.2644804434
235,19,1,1,278.25,265.25,11505.8529404159
236,20,1,1,279.25,265.25,11709.5728107773
237,21,1,1,279.25,265.25,11761.8025069885
238,22,1,1,279.25,265.25,11574.2699509396
239,23,1,1,277.25,265.25,11307.4895512244
240,0,2,1,275.25,265.25,10755.7768
241,1,2,1,274.25,268.25,9941.91737786041
242,2,2,1,273.25,268.25,9879.5251919974
243,3,2,1,272.25,268.25,9832.41741792796
244,4,2,1,272.25,268.25,10013.4110352364
245,5,2,1,271.25,267.25,10555.8975043714
246,6,2,1,271.25,267.25,11174.2866834049
247,7,2,1,270.25,267.25,12194.187235039
248,8,2,1,270.25,267.25,12456.1015870883
249,9,2,1,270.25,267.25,11994.4752976804
250,10,2,1,270.25,267.25,11678.765186467
251,11,2,1,270.25,267.25,11277.7521177949
252,12,2,1,270.25,267.25,10887.5853852292
253,13,2,1,272.25,269.25,10367.7114046031
254,14,2,1,276.25,272.25,10137.6157241803
255,15,2,1,280.25,274.25,9758.27188623448
256,16,2,1,282.25,273.25,9644.63512545045
257,17,2,1,284.25,273.25,9645.40483488958
258,18,2,1,285.25,274.25,10147.3071271938
259,19,2,1,285.25,275.25,11002.4464169079
260,20,2,1,286.25,275.25,10935.7376053066
261,21,2,1,287.25,275.25,10600.5412076048
262,22,2,1,285.25,275.25,10406.2676540577
263,23,2,1,283.25,275.25,9691.07534113439
264,0,3,1,281.25,275.25,9266.6826
265,1,3,1,280.25,275.25,8492.61288432747
266,2,3,1,278.25,275.25,8403.70109188192
267,3,3,1,277.25,274.25,8339.89260528436
268,4,3,1,276.25,274.25,8449.62651842082
269,5,3,1,276.25,275.25,8825.43590922032
270,6,3,1,276.25,275.25,9609.97399599463
271,7,3,1,275.25,274.25,10673.3072298909
272,8,3,1,276.25,274.25,10953.4739001007
273,9,3,1,275.25,274.25,10703.985785475
274,10,3,1,275.25,274.25,10468.9543871436
275,11,3,1,275.25,274.25,10187.5762208971
276,12,3,1,276.25,274.25,9916.89669684248
277,13,3,1,275.25,274.25,9453.1146219465
278,14,3,1,280.25,277.25,9294.95298767673
279,15,3,1,285.25,279.25,9065.14243144487
280,16,3,1,287.25,277.25,9113.39946379372
281,17,3,1,289.25,276.25,9141.24011138355
282,18,3,1,289.25,275.25,9553.54013448776
283,19,3,1,290.25,274.25,10034.2394541334
284,20,3,1,291.25,274.25,10097.5265091636
285,21,3,1,290.25,274.25,9907.2356188514
286,22,3,1,290.25,273.25,9686.6791450174
287,23,3,1,286.25,273.25,9265.18323023496
288,0,4,1,285.25,276.25,8934.2574
289,1,4,1,282.25,276.25,8529.62246288602
290,2,4,1,281.25,277.25,8405.41062860331
291,3,4,1,280.25,277.25,8416.80585816841
292,4,4,1,279.25,277.25,8484.39574258032
293,5,4,1,277.25,276.25,8809.00148658278
294,6,4,1,279.25,276.25,9607.73198983761
295,7,4,1,278.25,276.25,10682.5440049812
296,8,4,1,277.25,276.25,10813.7011222909
297,9,4,1,277.25,276.25,10509.7734329398
298,10,4,1,276.25,274.25,10428.6394718969
299,11,4,1,277.75,276.75,10329.8928794553
300,12,4,1,278.5,277.5,9968.45898596658
301,13,4,1,278.25,277.25,9572.27248667955
302,14,4,1,279.25,278.25,9550.53697351544
303,15,4,1,282.25,279.25,9390.58737218572
304,16,4,1,285.25,280.25,9544.4316898833
305,17,4,1,286.25,280.25,9635.42339268398
306,18,4,1,287.25,281.25,10094.3175059788
307,19,4,1,287.25,280.25,10472.24758419
308,20,4,1,286.25,280.25,10338.4776232712
309,21,4,1,286.25,280.25,10079.4215767714
310,22,4,1,285.25,280.25,9607.20552111104
311,23,4,1,284.25,280.25,8857.75407286475
312,0,5,1,283.25,280.25,8248.2669
313,1,5,1,283.25,280.25,7968.57160273661
314,2,5,1,283.25,280.25,7758.8031204568
315,3,5,1,283.25,281.25,7777.74727819825
316,4,5,1,283.25,281.25,7792.13741726275
317,5,5,1,283.25,281.25,8023.55188495071
318,6,5,1,283.25,281.25,8700.90573258159
319,7,5,1,283.25,281.25,9581.4816454033
320,8,5,1,283.25,281.25,9654.00327379999
321,9,5,1,284.25,282.25,9549.7297816247
322,10,5,1,284.25,282.25,9694.92106718771
323,11,5,1,284.25,283.25,9766.34025584587
324,12,5,1,284.75,284.25,9636.48563984726
325,13,5,1,285.25,284.25,9512.48217556578
326,14,5,1,285.25,284.25,9469.90076461439
327,15,5,1,285.5,284.5,9461.29956269726
328,16,5,1,286.25,285.25,9538.75827366487
329,17,5,1,286.25,285.25,9573.76771727358
330,18,5,1,287.25,286.25,9875.76957543484
331,19,5,1,287.25,285.75,10149.3668675276
332,20,5,1,287.25,285.25,10065.4313392291
333,21,5,1,286.25,285.25,9819.11920282859
334,22,5,1,286.25,285.25,9206.11978425806
335,23,5,1,286.25,285.25,8520.10668019071
336,0,6,1,285.25,284.25,7969.677
337,1,6,1,285.25,284.25,7731.63295224003
338,2,6,1,285.25,284.25,7456.88204226753
339,3,6,1,285.25,284.25,7361.52335604216
340,4,6,1,285.25,284.25,7348.60531809648
341,5,6,1,285.25,284.25,7564.54794678778
342,6,6,1,285.25,283.25,8259.40485519692
343,7,6,1,285.25,283.25,9084.53200065435
344,8,6,1,285.25,283.25,9321.53957852609
345,9,6,1,285.25,282.25,9346.64776163262
346,10,6,1,285.25,282.25,9582.38611035844
347,11,6,1,285.25,281.25,9816.98318657077
348,12,6,1,285.25,281.25,9848.625199639
349,13,6,1,285.25,281.25,9770.73029254786
350,14,6,1,285.25,281.25,9793.4935301352
351,15,6,1,285.25,281.25,9866.28167235049
352,16,6,1,285.75,281.25,9967.84261652893
353,17,6,1,286.25,282.25,10064.3503874107
354,18,6,1,285.25,282.25,10366.188580611
355,19,6,1,285.25,281.75,10440.138194762
356,20,6,1,285.25,282.25,10295.2587338031
357,21,6,1,285.25,283.5,10040.7281201962
358,22,6,1,285.25,284.25,9604.39919665286
359,23,6,1,285.25,284.25,9163.11932609872
360,0,7,1,285.25,284.25,8583.0585
361,1,7,1,285.25,284.25,8100.75594815151
362,2,7,1,285.25,284.25,7825.20673040639
363,3,7,1,285.25,283.25,7683.90005769608
364,4,7,1,284.25,283.25,7649.5062340967
365,5,7,1,284.25,283.25,7672.31834061759
366,6,7,1,284.25,282.25,7817.89330306823
367,7,7,1,284.25,282.25,8158.88883505782
368,8,7,1,284.25,283.25,8688.60262576895
369,9,7,1,284.25,282.25,9030.06874645729
370,10,7,1,283.25,282.25,9465.03996635052
371,11,7,1,282.25,281.25,9733.06685301675
372,12,7,1,282.25,281.25,9720.29414766149
373,13,7,1,282.25,281.25,9345.18521325504
374,14,7,1,282.25,281.25,9106.070661773
375,15,7,1,282.25,281.25,8891.58640323222
376,16,7,1,282.25,280.25,8821.52243893898
377,17,7,1,282.25,280.25,8720.07160434076
378,18,7,1,282.5,281,9013.18052426076
379,19,7,1,283.75,280.75,9536.26481375639
380,20,7,1,282.75,280.75,9599.60048229791
381,21,7,1,283.25,280.25,9405.84001931368
382,22,7,1,284.25,280.25,9187.03869726863
383,23,7,1,284.25,279.75,8669.57137448311
384,0,1,1,283.25,279.25,8385.0962
385,1,1,1,284.25,278.25,7920.93059089903
386,2,1,1,284.25,277.25,7897.30297824801
387,3,1,1,282.25,277.25,7692.80950391373
388,4,1,1,281.25,277.25,7708.04927096232
389,5,1,1,280.25,277.25,7782.57082459691
390,6,1,1,280.25,277.25,8027.99088799932
391,7,1,1,280.25,277.25,8272.02220460718
392,8,1,1,279.25,277.25,8440.28935960712
393,9,1,1,279.25,277.25,8578.63982631184
394,10,1,1,279.25,277.25,8708.07814621819
395,11,1,1,279.25,277.25,8624.4877123895
396,12,1,1,279.25,277.25,8529.37180721828
397,13,1,1,278.5,277.25,8293.18938139251
398,14,1,1,280.25,279.25,8111.66490705784
399,15,1,1,284.25,281.25,8050.66328499877
400,16,1,1,286.25,281.25,7954.28549752511
401,17,1,1,287.25,280.25,7983.27965156387
402,18,1,1,288.25,280.25,8319.53046719501
403,19,1,1,289.25,280.25,8874.36553725132
404,20,1,1,290.25,280.25,8948.1007129194
405,21,1,1,290.25,280.25,8845.19412063691
406,22,1,1,289.25,280.25,8635.06828272756
407,23,1,1,287.25,281.25,8362.14775227434
408,0,2,1,285.25,281.25,7963.0116
409,1,2,1,284.25,281.25,7651.07680524604
410,2,2,1,283.25,280.25,7512.99527971302
411,3,2,1,282.25,280.25,7508.35453865688
412,4,2,1,282.25,280.25,7551.33422099265
413,5,2,1,282.25,281.25,7922.56857715165
414,6,2,1,282.25,280.25,8511.12660837539
415,7,2,1,281.25,280.25,9196.24434077119
416,8,2,1,280.25,279.25,9379.53172229133
417,9,2,1,279.25,279.25,9254.11861807216
418,10,2,1,279.25,278.25,9281.37862270618
419,11,2,1,279.25,277.25,9305.06818861909
420,12,2,1,281.25,280.25,9146.9966389429
421,13,2,1,282.25,280.25,8965.00849701459
422,14,2,1,286.25,282.25,8983.08902202789
423,15,2,1,289.25,284.25,9058.21732310308
424,16,2,1,292.25,286.25,9101.64136297065
425,17,2,1,292.25,286.25,9006.79567905362
426,18,2,1,294.25,286.25,9181.24757754467
427,19,2,1,292.25,286.25,9664.47481667078
428,20,2,1,293.25,287.25,9489.958551658
429,21,2,1,292.25,287.25,9095.80938453894
430,22,2,1,292.25,287.25,8580.54215397505
431,23,2,1,290.25,287.25,7986.91530748561
432,0,3,1,290.25,287.25,7336.8679
433,1,3,1,289.25,287.25,7149.92253196574
434,2,3,1,289.25,287.25,6918.91240470525
435,3,3,1,288.25,287.25,6854.89486646118
436,4,3,1,289.25,286.25,6851.32292447248
437,5,3,1,289.25,287.25,7031.01886950516
438,6,3,1,289.25,287.25,7668.00968945612
439,7,3,1,289.25,287.25,8626.51018591601
440,8,3,1,289.25,287.25,8729.99530600068
441,9,3,1,289.25,287.25,8670.17138792319
442,10,3,1,289.25,287.25,8902.40797975944
443,11,3,1,289.25,287.25,9168.70540935489
444,12,3,1,289.25,287.25,9241.4969899145
445,13,3,1,289.25,287.75,9241.99594983539
446,14,3,1,290,288.5,9284.32791943298
447,15,3,1,292.25,290.25,9309.41759962009
448,16,3,1,294.25,290.25,9355.62519568154
449,17,3,1,295.25,290.25,9352.83869305059
450,18,3,1,296.25,290.25,9536.85223554536
451,19,3,1,297.25,290.25,9958.16111597421
452,20,3,1,296.25,290.25,9826.16032826645
453,21,3,1,296.25,290.25,9545.50007141404
454,22,3,1,295.25,290.25,9057.38354852256
455,23,3,1,294.25,291.25,8411.27673262537
456,0,4,1,292.25,291.25,7731.5401
457,1,4,1,292.25,291.25,7344.03803417468
458,2,4,1,293.25,291.25,7089.80712248876
459,3,4,1,293.25,291.25,6968.66379366891
460,4,4,1,293.25,291.25,6904.47494409531
461,5,4,1,293.25,291.25,7020.56814370228
462,6,4,1,292.25,291.25,7633.93590028851
463,7,4,1,292.25,291.25,8560.22779905195
464,8,4,1,292.25,291.25,8919.25231456955
465,9,4,1,292.25,291.25,8945.94727850552
466,10,4,1,292.25,291.25,9149.09858481714
467,11,4,1,292.25,291.25,9472.8782892074
468,12,4,1,292.25,291.25,9611.28038594922
469,13,4,1,291.25,291.25,9602.35526620221
470,14,4,1,292,291.25,9567.66440976356
471,15,4,1,293.25,292.25,9561.48618527356
472,16,4,1,295.25,293.25,9637.88782447864
473,17,4,1,295.25,292.25,9707.46962829212
474,18,4,1,294.25,292.25,9891.19832024866
475,19,4,1,294.25,292.25,10147.0550214459
476,20,4,1,294.25,292.25,9938.44012799264
477,21,4,1,294.25,292.25,9666.679282185
478,22,4,1,294.25,292.25,9132.46840764351
479,23,4,1,294.25,292.25,8458.17972698908
480,0,5,1,294.25,292.25,7814.6055
481,1,5,1,293.25,292.25,7425.70534724647
482,2,5,1,293.25,292.25,7132.18459423864
483,3,5,1,292.25,291.25,6983.95406167872
484,4,5,1,292.25,290.25,6909.18443219645
485,5,5,1,291.25,290.25,7059.92941026126
486,6,5,1,291.25,290.25,7664.89250859023
487,7,5,1,291.25,290.25,8616.88611258371
488,8,5,1,291.25,290.25,8786.28042832739
489,9,5,1,290.5,290.25,8745.33838202963
490,10,5,1,290.25,289.5,8956.72841544245
491,11,5,1,289.25,288.25,9263.47164070451
492,12,5,1,289.25,287.25,9516.3432514476
493,13,5,1,288.75,287.25,9470.59253110416
494,14,5,1,289.25,288,9500.99467623852
495,15,5,1,292.25,285.25,9642.07292858431
496,16,5,1,294.25,280.25,9773.03239480372
497,17,5,1,295.25,277.25,9634.30220511009
498,18,5,1,296.25,276.25,9511.54111793916
499,19,5,1,298.25,274.25,9739.67612142672
500,20,5,1,298.25,272.25,9628.05610679602
501,21,5,1,298.25,271.25,9245.65902547301
502,22,5,1,297.25,272.25,8684.93616552441
503,23,5,1,296.25,273.25,8093.57452667762
504,0,6,1,294.25,272.25,7467.9826
505,1,6,1,293.25,274.25,7160.86305162935
506,2,6,1,290.25,276.25,6902.72280949495
507,3,6,1,288.25,277.25,6805.6557007506
508,4,6,1,286.25,280.25,6820.07190806614
509,5,6,1,286.25,278.25,6971.08193387517
510,6,6,1,284.25,279.25,7652.2991308258
511,7,6,1,284.25,279.25,8549.73352239704
512,8,6,1,283.25,279.25,8696.52213830086
513,9,6,1,283.25,279.25,8593.45333216803
514,10,6,1,282.25,280.25,8659.20692901859
515,11,6,1,284.25,280.25,8881.24289590832
516,12,6,1,284.25,278.25,9052.75930181974
517,13,6,1,285.25,279.25,9033.07162796175
518,14,6,1,289.25,281.25,9044.28665169059
519,15,6,1,291.25,281.25,9155.60937268895
520,16,6,1,293.25,281.25,9172.27948958649
521,17,6,1,295.25,279.25,9146.39777089234
522,18,6,1,296.25,279.25,9158.38241010043
523,19,6,1,297.25,279.25,9416.65036108941
524,20,6,1,297.25,277.25,9228.0237354838
525,21,6,1,296.25,280.25,9016.71745197216
526,22,6,1,294.25,284.25,8632.17772884782
527,23,6,1,292.25,288.25,8155.29005757044
528,0,7,1,291.25,289.25,7602.3652
529,1,7,1,291,289.25,7475.22319627981
530,2,7,1,292.25,289.25,7216.98399931237
531,3,7,1,292.25,289.25,7028.32714168429
532,4,7,1,292.25,289.25,6916.61484319321
533,5,7,1,292.25,290.25,6894.80834658541
534,6,7,1,292.25,290.25,6980.16250782969
535,7,7,1,292.25,290.25,7293.04624173256
536,8,7,1,292.25,290.25,7642.29297747296
537,9,7,1,292.25,290.25,7978.47415710433
538,10,7,1,292.25,290.25,8457.3486424599
539,11,7,1,292.25,290.25,8802.48612390144
540,12,7,1,292.25,290.25,8995.23490881784
541,13,7,1,292.25,290.25,8979.60355523344
542,14,7,1,292.75,290.25,8930.42967431551
543,15,7,1,294.25,291.25,8922.04694019374
544,16,7,1,294.25,291.25,8924.07063178362
545,17,7,1,295.25,291.25,8871.75641297242
546,18,7,1,295.25,291.25,8985.72435947373
547,19,7,1,295.25,291.25,9324.35878191517
548,20,7,1,295.25,291.25,9252.29716797102
549,21,7,1,295.25,291.25,8979.39188473821
550,22,7,1,295.25,291.25,8650.86071579854
551,23,7,1,294.25,290.25,8247.31386669525
552,0,1,1,292.25,280.25,7813.8709
553,1,1,1,291.25,280.25,7466.41500153025
554,2,1,1,290.25,280.25,7223.34962551119
555,3,1,1,286.25,281.25,7086.56987440711
556,4,1,1,286.25,280.25,7040.3330268487
557,5,1,1,285.25,280.25,7014.53923279922
558,6,1,1,285.25,279.25,7224.29179545154
559,7,1,1,284.25,280.25,7478.05286622533
560,8,1,1,284.25,279.25,7651.42848107341
561,9,1,1,284.25,279.25,7894.04762014837
562,10,1,1,284.25,277.25,8181.20098509031
563,11,1,1,284.25,277.25,8306.16119138235
564,12,1,1,284.25,276.25,8399.21564032578
565,13,1,1,284.25,275.25,8346.33473571449
566,14,1,1,287.25,274.25,8159.75232033362
567,15,1,1,289.25,272.25,8129.40587555488
568,16,1,1,290.25,272.25,8059.51368605491
569,17,1,1,291.25,272.25,8074.66210518567
570,18,1,1,292.25,272.25,8353.93925024868
571,19,1,1,292.25,273.25,8888.10819043516
572,20,1,1,292.25,274.25,9049.26499191046
573,21,1,1,292.25,274.25,8894.80385375078
574,22,1,1,292.25,274.25,8593.26560786326
575,23,1,1,291.25,274.25,8244.06855950555
576,0,2,1,290.25,275.25,7763.7344
577,1,2,1,289.25,274.25,7418.954508864
578,2,2,1,287.25,274.25,7259.98146275802
579,3,2,1,286.25,274.25,7230.90911615448
580,4,2,1,285.25,275.25,7286.56952332711
581,5,2,1,285.25,275.25,7605.23252565375
582,6,2,1,283.25,275.25,8348.54661178613
583,7,2,1,282.25,275.25,9439.78617320957
