"","Food","Service","Value","Atmosphere","Overall"
"214",5,5,5,5,5
"215",5,4,4,4,5
"217",5,4,5,4,5
"218",5,5,5,5,5
"219",5,5,5,3,5
"220",5,5,5,5,5
"225",4,4,5,5,5
"226",4,4,5,5,5
"227",4,5,5,5,5
"228",5,4,5,5,5
"229",5,4,5,5,5
"230",5,5,4,5,5
"231",5,5,5,5,5
"232",5,5,5,5,5
"233",5,5,5,5,5
"234",5,5,5,5,5
"235",5,5,5,5,5
"238",5,5,4,5,5
"241",5,5,4,5,5
"243",5,5,5,5,5
"244",5,5,5,5,5
"245",5,5,5,5,5
"250",5,5,5,5,5
"251",5,4,4,5,5
"252",5,5,5,5,5
"253",5,5,5,4,5
"254",5,5,4,5,5
"257",5,4,5,5,5
"258",5,5,5,5,5
"259",5,5,5,5,5
"260",5,5,5,5,5
"261",5,5,5,4,5
"262",5,5,4,5,5
"263",5,5,4,4,5
"264",5,5,5,5,5
"265",5,5,5,5,5
"267",5,5,5,5,5
"268",5,5,5,4,5
"273",5,5,5,5,5
"280",5,5,5,5,5
"281",5,5,5,5,5
"282",5,5,5,5,5
"283",5,4,5,4,5
"284",5,4,5,4,5
"285",5,5,5,5,5
"286",5,5,5,5,5
"288",5,5,5,5,5
"289",5,5,5,5,5
"290",5,5,5,5,5
"291",5,5,4,5,5
"292",5,5,5,5,5
"293",5,5,5,5,5
"295",5,4,5,5,5
"296",5,5,5,5,5
"297",5,5,5,5,5
"298",5,5,5,5,5
"299",5,4,5,5,5
"304",5,4,4,3,5
"305",5,5,5,4,5
"307",5,5,5,5,5
"311",5,4,5,5,5
"312",5,4,4,5,5
"314",5,5,5,5,5
"316",5,5,4,4,5
"317",5,5,5,5,5
"319",5,5,5,5,5
"320",5,5,5,5,5
"326",5,5,5,5,5
"327",5,5,5,5,5
"330",5,5,5,4,5
"334",5,5,5,5,5
"335",5,5,5,5,5
"336",5,5,5,4,5
"337",5,4,5,4,5
"344",5,5,4,4,5
"345",5,4,5,4,5
"346",4,5,5,5,5
"348",5,5,5,5,5
"350",5,4,5,5,5
"357",5,5,5,5,5
"358",5,5,5,5,5
"361",5,5,5,5,5
"362",5,5,5,5,5
"363",5,5,5,5,5
"366",5,5,5,5,5
"368",5,5,5,4,5
"369",4,4,5,5,5
"370",5,5,5,5,5
"371",5,5,4,5,5
"374",5,4,5,5,5
"375",5,5,5,5,5
"376",5,5,5,5,5
"377",5,5,5,5,5
"379",5,5,5,5,5
"382",5,5,5,5,5
"384",5,4,5,5,5
"387",4,5,4,5,5
"389",5,5,5,5,5
"390",5,5,4,5,5
"397",5,5,5,5,5
"398",5,5,5,5,5
"399",5,5,5,5,5
"402",5,5,5,4,5
"404",5,4,5,5,5
"405",5,5,5,5,5
"406",5,5,5,5,5
"407",5,5,5,4,5
"416",5,5,5,5,5
"417",5,5,5,5,5
"418",5,5,5,5,5
"419",5,5,5,5,5
"420",5,5,5,4,5
"423",5,5,5,5,5
"425",5,5,5,5,5
"429",5,5,5,5,5
"430",5,5,5,5,5
"434",5,4,4,5,5
"437",5,5,5,4,5
"438",5,5,5,5,5
"440",5,5,5,4,5
"441",5,5,5,5,5
"444",5,5,5,5,5
"448",5,5,5,5,5
"449",5,5,5,5,5
"450",5,5,5,5,5
"451",5,5,5,5,5
"452",5,4,4,5,5
"455",3,5,3,5,5
"458",5,5,5,5,5
"459",5,5,5,5,5
"460",5,5,5,5,5
"461",5,5,5,5,5
"463",4,4,4,5,5
"467",5,5,5,5,5
"468",5,4,5,5,5
"473",5,4,4,5,5
"474",5,4,5,5,5
"476",5,5,5,5,5
"478",5,4,5,5,5
"483",5,5,5,4,5
"484",5,5,5,5,5
"485",5,4,5,5,5
"486",5,5,5,5,5
"490",5,4,5,2,5
"491",5,5,4,5,5
"492",5,5,5,5,5
"496",5,5,5,5,5
"497",5,5,5,5,5
"499",5,5,5,5,5
"500",5,5,4,3,5
"503",4,5,4,5,5
"505",5,5,5,5,5
"508",5,2,5,5,5
"510",5,5,5,5,5
"511",5,5,5,5,5
"512",5,5,5,5,5
"514",5,4,4,5,5
"515",5,5,4,5,5
"517",5,5,5,5,5
"519",5,5,5,5,5
"521",5,5,5,5,5
"523",5,5,5,5,5
"525",5,5,4,5,5
"528",5,5,5,5,5
"531",5,5,5,5,5
"532",5,5,5,5,5
"533",5,5,5,5,5
"538",5,4,5,4,5
"540",5,5,5,5,5
"541",5,5,5,4,5
"543",5,5,5,5,5
"545",5,5,5,5,5
"546",5,5,5,5,5
"547",5,5,4,5,5
"548",5,5,5,5,5
"550",5,5,5,5,5
"552",5,5,5,5,5
"553",5,5,5,5,5
"554",5,5,5,5,5
"556",5,5,5,5,5
"557",5,5,5,5,5
"558",4,4,5,5,5
"566",5,5,5,4,5
"574",5,5,4,5,5
"575",5,5,5,5,5
"576",5,3,4,4,5
"577",5,3,3,3,5
"578",5,5,5,5,5
"580",5,5,4,4,5
"581",4,5,5,5,5
"585",5,5,5,5,5
"586",5,5,5,5,5
"587",4,5,5,4,5
"588",5,5,5,5,5
"589",5,4,4,5,5
"594",5,5,5,5,5
"596",5,5,5,5,5
"598",5,5,4,5,5
"599",5,5,4,5,5
"600",5,5,4,4,5
"601",5,5,4,5,5
"603",4,5,4,5,5
"610",5,5,4,5,5
"611",5,5,5,4,5
"612",5,5,5,5,5
"613",5,5,5,5,5
"614",5,5,5,5,5
"615",5,5,5,5,5
"617",5,5,5,5,5
"619",5,4,5,5,5
"620",5,5,5,5,5
"621",5,4,5,5,5
"622",5,5,5,5,5
"623",5,5,4,5,5
"625",5,5,4,5,5
"630",5,5,5,5,5
"631",5,5,5,5,5
"632",5,5,5,5,5
"633",5,5,5,5,5
"635",5,5,5,5,5
"636",5,3,5,3,5
"637",5,5,5,5,5
"643",5,5,5,5,5
"644",5,5,5,5,5
"645",5,5,5,5,5
"648",5,5,5,5,5
"650",5,4,5,5,5
"651",5,5,5,5,5
"652",5,5,5,5,5
"654",5,5,5,4,5
"657",5,4,4,5,5
"661",5,5,3,4,5
"664",5,5,5,5,5
"666",5,5,5,5,5
"669",5,5,5,4,5
"672",5,5,5,5,5
"673",5,5,5,5,5
"674",5,4,5,4,5
"675",5,5,5,5,5
"677",5,5,5,0,5
"682",5,5,4,5,5
"683",5,4,5,5,5
"684",5,5,5,5,5
"687",5,5,5,5,5
"688",5,5,5,5,5
"689",5,5,5,5,5
"690",5,5,5,5,5
"691",5,5,5,5,5
"692",4,5,5,3,5
"693",5,3,4,4,5
"694",5,5,4,5,5
"695",5,5,5,5,5
"698",5,5,5,5,5
"704",5,5,5,5,5
"706",5,5,5,4,5
"707",5,5,5,5,5
"708",5,5,5,5,5
"709",5,5,5,5,5
"711",5,4,4,3,5
"713",5,5,5,5,5
"715",5,5,5,5,5
"716",5,5,5,4,5
"717",5,5,5,5,5
"718",5,5,5,5,5
"719",5,5,5,5,5
"720",5,4,5,3,5
"722",5,5,5,5,5
"723",5,5,5,5,5
"724",5,5,5,5,5
"725",5,5,5,5,5
"726",5,5,5,5,5
"727",5,5,5,5,5
"728",5,5,5,5,5
"730",5,5,5,5,5
"734",5,5,5,5,5
"735",5,5,5,5,5
"738",5,4,5,4,5
"741",5,5,5,4,5
"742",5,5,5,5,5
"746",5,5,5,5,5
"747",5,5,5,5,5
"748",5,5,5,5,5
"750",5,4,5,5,5
"753",5,4,5,4,5
"755",5,5,5,5,5
"756",5,5,5,5,5
"757",5,5,5,5,5
"758",5,5,5,5,5
"759",5,5,4,5,5
"760",5,5,5,5,5
"761",5,5,4,5,5
"765",5,5,5,5,5
"766",5,5,5,5,5
"767",5,5,5,5,5
"768",4,4,4,5,5
"769",5,5,4,5,5
"770",5,5,4,5,5
"771",5,4,4,5,5
"772",5,4,4,5,5
"773",5,5,5,4,5
"775",5,5,5,5,5
"776",5,5,5,5,5
"777",5,5,5,5,5
"778",5,5,5,5,5
"779",5,5,5,5,5
"781",5,5,5,4,5
"782",5,5,4,5,5
"783",5,4,5,4,5
"784",5,5,5,5,5
"787",5,5,5,5,5
"791",5,5,5,5,5
"792",5,5,5,4,5
"793",5,5,5,4,5
"794",5,5,5,5,5
"795",5,5,4,5,5
"796",5,5,5,4,5
"797",5,4,5,5,5
"801",5,5,5,5,5
"802",5,5,5,5,5
"803",5,5,5,5,5
"805",5,5,5,5,5
"808",5,5,5,5,5
"810",5,5,4,4,5
"812",5,4,5,4,5
"815",5,5,5,5,5
"818",5,5,5,5,5
"820",5,5,4,5,5
"823",5,5,5,5,5
"825",5,5,5,4,5
"826",5,4,5,5,5
"827",5,5,5,5,5
"830",5,5,5,5,5
"832",5,5,4,5,5
"833",5,5,5,5,5
"834",5,4,5,5,5
"836",5,5,5,5,5
"837",5,5,5,5,5
"838",5,5,5,5,5
"839",5,5,5,4,5
"840",5,5,5,5,5
"844",5,5,5,5,5
"845",5,5,4,4,5
"846",5,4,4,5,5
"847",5,5,4,5,5
"848",5,5,5,5,5
"850",4,4,5,5,5
"854",5,5,5,5,5
"855",5,4,5,3,5
"856",4,5,4,4,5
"857",5,5,5,5,5
"860",5,5,5,5,5
"861",5,5,5,5,5
"863",5,5,5,3,5
"864",5,3,4,4,5
"865",5,4,5,4,5
"866",5,5,5,5,5
"867",5,5,5,5,5
"869",5,5,5,5,5
"871",5,5,5,5,5
"875",5,5,5,4,5
"876",5,5,5,5,5
"877",5,5,5,5,5
"878",5,5,5,5,5
"880",4,5,5,5,5
"882",5,5,5,5,5
"883",5,5,5,3,5
"884",5,5,5,5,5
"886",5,5,5,5,5
"889",5,5,5,5,5
"890",5,5,5,5,5
"891",5,5,5,4,5
"892",5,5,5,5,5
"893",5,4,5,5,5
"894",5,5,5,5,5
"896",5,5,5,5,5
"897",5,4,5,5,5
"899",5,5,5,5,5
"900",5,5,5,4,5
"903",5,5,5,5,5
"904",5,5,5,5,5
"906",5,5,5,4,5
"907",5,4,5,4,5
"910",5,3,5,5,5
"911",5,5,4,5,5
"912",5,5,5,5,5
"915",5,5,5,5,5
"922",5,5,5,4,5
"931",5,4,4,5,5
"932",4,4,5,5,5
"935",5,5,5,5,5
"936",5,5,5,5,5
"938",5,5,5,5,5
"939",5,5,5,5,5
"940",5,5,5,5,5
"941",5,5,5,5,5
"943",5,5,5,3,5
"944",5,4,4,5,5
"945",5,5,5,5,5
"946",5,5,5,5,5
"948",5,5,5,5,5
"949",5,5,5,5,5
"954",5,4,4,5,5
"955",5,5,5,5,5
"957",5,5,5,5,5
"958",5,5,5,5,5
"959",5,3,5,5,5
"960",5,5,5,5,5
"961",5,5,5,5,5
"962",5,5,5,5,5
"963",5,5,5,5,5
"968",5,5,4,5,5
"971",5,5,5,5,5
"974",5,5,3,4,5
"980",5,5,5,4,5
"981",5,5,5,5,5
"982",5,5,5,4,5
"984",5,5,5,5,5
"985",5,5,5,4,5
"987",5,5,5,5,5
"988",5,5,5,5,5
"989",5,5,5,5,5
"990",5,5,0,5,5
"991",5,5,5,5,5
"992",5,5,5,5,5
"994",5,5,5,4,5
"995",5,5,5,4,5
"996",5,5,5,5,5
"997",5,5,5,5,5
"1008",5,4,4,5,5
"1015",4,5,4,5,5
"1016",5,5,5,4,5
"1017",5,4,5,5,5
"1018",5,5,5,5,5
"1019",5,5,5,5,5
"1022",5,5,5,4,5
"1024",5,5,4,5,5
"1025",5,5,5,5,5
"1027",5,5,5,5,5
"1030",5,5,5,5,5
"1034",5,5,5,5,5
"1035",5,5,5,5,5
"1036",5,5,5,5,5
"1037",5,5,5,5,5
"1038",5,5,5,5,5
"1041",5,4,5,4,5
"1042",5,5,5,5,5
"1044",5,5,5,5,5
"1045",5,5,5,5,5
"1046",5,5,5,5,5
"1049",5,5,5,5,5
"1050",5,5,5,5,5
"1051",5,4,5,5,5
"1053",5,5,5,5,5
"1054",5,5,5,5,5
"1057",5,4,5,5,5
"1059",5,5,4,5,5
"1061",5,5,5,5,5
"1062",5,5,5,5,5
"1064",5,5,5,5,5
"1066",5,5,5,5,5
"1067",5,5,5,5,5
"1068",5,5,5,5,5
"1069",5,5,5,5,5
"1070",5,5,5,5,5
"1072",5,5,3,5,5
"1073",5,5,5,5,5
"1074",5,5,5,5,5
"1075",5,5,5,5,5
"1076",5,5,5,5,5
"1077",5,5,5,5,5
"1078",5,5,5,5,5
"1080",5,5,5,5,5
"1081",5,5,5,5,5
"1082",5,5,5,5,5
"1083",5,5,4,4,5
"1085",5,5,5,5,5
"1086",5,5,5,5,5
"1087",5,5,5,5,5
"1088",5,5,5,5,5
"1089",5,5,5,5,5
"1090",5,5,5,5,5
"1091",5,5,3,5,5
"1092",5,5,5,5,5
"1093",5,5,5,4,5
"1095",5,5,5,5,5
"1097",5,5,4,5,5
"1098",5,5,5,5,5
"1100",5,5,5,5,5
"1101",4,4,5,5,5
"1102",4,5,5,5,5
"1103",5,5,5,5,5
"1107",5,5,4,5,5
"1109",5,5,5,5,5
"1110",5,5,5,3,5
"1112",5,5,5,4,5
"1113",5,5,5,4,5
"1114",5,5,5,5,5
"1115",4,5,5,4,5
"1117",5,4,4,5,5
"1119",5,4,5,5,5
"1120",5,4,4,5,5
"1122",5,5,5,5,5
"1123",5,5,5,5,5
"1124",5,5,5,5,5
"1125",5,5,5,5,5
"1128",5,5,4,5,5
"1129",5,5,5,5,5
"1130",5,5,5,5,5
"1131",5,4,5,5,5
"1133",5,5,5,5,5
"1134",5,5,5,5,5
"1138",5,4,5,4,5
"1139",5,3,5,5,5
"1140",5,4,5,5,5
"1141",5,5,5,5,5
"1142",5,4,5,3,5
"1144",5,4,5,4,5
"1150",5,3,5,5,5
"1151",5,5,5,4,5
"1152",5,5,4,5,5
"1153",5,5,4,5,5
"1154",5,5,4,5,5
"1155",5,5,5,3,5
"1156",5,5,5,5,5
"1157",5,5,5,5,5
"1160",4,4,4,4,5
"1164",5,5,5,5,5
"1166",5,5,5,5,5
"1167",5,5,5,5,5
"1169",5,5,5,4,5
"1172",5,5,5,5,5
"1173",5,5,5,4,5
"1174",5,4,5,5,5
"1175",5,4,5,5,5
"1176",5,4,5,4,5
"1178",5,5,5,5,5
"1180",5,5,0,5,5
"1181",5,4,5,4,5
"1182",5,5,5,4,5
"1183",5,5,4,5,5
"1184",5,5,5,5,5
"1185",5,5,5,4,5
"1186",5,5,5,5,5
"1189",5,5,5,5,5
"1192",5,5,4,5,5
"1195",5,5,5,5,5
"1197",5,5,5,5,5
"1198",5,4,5,5,5
"1199",4,4,3,3,5
"1201",5,4,4,4,5
"1202",5,5,5,5,5
"1207",5,5,4,5,5
"1209",5,5,4,4,5
"1211",5,5,5,5,5
"1213",5,5,3,5,5
"1215",5,5,5,5,5
"1217",5,5,5,5,5
"1218",5,5,5,5,5
"1221",5,5,5,4,5
"1223",5,4,3,0,5
"1224",5,5,5,4,5
"1226",5,5,4,5,5
"1227",5,5,4,5,5
"1230",5,5,5,5,5
"1231",5,5,5,5,5
"1232",5,5,5,4,5
"1236",5,5,5,5,5
"1237",5,5,5,5,5
"1239",5,5,5,5,5
"1240",5,5,5,5,5
"1241",5,5,5,5,5
"1242",5,5,5,5,5
"1243",5,5,5,5,5
"1244",5,5,5,5,5
"1249",5,5,5,5,5
"1252",5,5,5,4,5
"1253",5,5,5,5,5
"1254",5,5,5,5,5
"1255",5,5,4,4,5
"1256",5,5,5,5,5
"1257",5,5,5,4,5
"1258",5,5,5,3,5
"1261",5,5,4,5,5
"1263",5,5,5,5,5
"1272",5,5,3,5,5
"1273",5,5,5,4,5
"1280",5,5,5,5,5
"1281",5,5,5,5,5
"1282",5,5,5,5,5
"1283",5,5,5,3,5
"1284",5,5,5,5,5
"1292",5,5,5,5,5
"1293",5,5,5,5,5
"1295",5,5,4,5,5
"1299",5,5,5,5,5
"1302",5,5,4,5,5
"1308",4,5,5,5,5
"1315",5,5,5,5,5
"1318",5,5,5,5,5
"1320",5,5,5,5,5
"1322",5,5,3,4,5
"1325",5,5,5,5,5
"1327",5,4,4,5,5
"1328",5,5,5,5,5
"1330",5,5,5,5,5
"1331",5,5,5,5,5
"1344",5,5,5,5,5
"1351",5,5,5,5,5
"1352",5,4,5,4,5
"1353",5,4,4,5,5
"1354",5,4,4,5,5
"1357",5,5,4,5,5
"1358",5,4,5,4,5
"1362",5,5,5,5,5
"1365",5,5,5,5,5
"1366",5,5,4,4,5
"1371",5,5,4,4,5
"1376",5,5,5,5,5
"1389",5,5,5,5,5
"1392",5,5,5,5,5
"1394",5,5,5,4,5
"1398",5,5,4,5,5
"1399",4,4,4,4,5
"1403",5,4,5,5,5
"1409",5,4,5,5,5
"1428",5,5,5,5,5
"1429",5,5,5,5,5
"1430",5,5,5,5,5
"1432",5,5,5,5,5
"1433",5,4,5,5,5
"1440",5,4,5,4,5
"1442",5,5,5,5,5
"1447",5,5,5,5,5
"1455",5,5,5,5,5
"1460",5,5,5,5,5
"1461",5,5,5,5,5
"1463",5,5,5,1,5
"1468",5,5,4,4,5
"1469",5,5,5,5,5
"1470",5,5,5,5,5
"1471",5,5,5,5,5
"1472",5,5,5,5,5
"1480",4,5,4,4,5
"1481",5,4,4,4,5
"1483",5,5,5,5,5
"1485",5,4,5,5,5
"1486",5,5,5,5,5
"1491",5,4,5,5,5
"1494",5,5,5,5,5
"1495",5,5,5,5,5
"1496",5,5,5,5,5
"1497",5,5,4,5,5
"1498",5,5,5,5,5
"1499",5,5,5,5,5
"1501",5,5,5,5,5
"1504",5,5,5,5,5
"1513",5,5,5,5,5
"1521",5,5,5,5,5
"1525",5,5,5,5,5
"1527",5,5,5,5,5
"1528",5,5,4,4,5
"1529",5,5,4,5,5
"1534",4,5,5,5,5
"1540",5,5,5,5,5
"1552",5,5,5,5,5
"1561",5,5,5,5,5
"1563",5,5,4,5,5
"1566",5,5,5,5,5
"1567",5,5,5,5,5
"1568",5,5,5,5,5
"1570",5,5,5,5,5
"1571",5,5,5,5,5
"1578",5,5,3,5,5
"1579",5,5,5,5,5
"1585",5,5,4,5,5
"1590",5,5,5,5,5
"1594",5,5,5,5,5
"1595",5,5,5,5,5
"1596",5,5,5,5,5
"1597",5,5,5,5,5
"1602",5,5,5,5,5
"1603",5,5,5,5,5
"1612",5,5,5,3,5
"1614",5,5,5,5,5
"1630",5,5,5,5,5
"1637",5,5,5,5,5
"1639",5,5,5,5,5
"1640",5,5,5,4,5
"1641",5,5,5,4,5
"1644",5,5,5,5,5
"1646",5,5,5,4,5
"1651",5,5,5,5,5
"1652",5,5,5,5,5
"1666",5,5,5,5,5
"1667",5,5,5,5,5
"1668",5,5,5,5,5
"1677",5,4,5,5,5
"1679",5,5,5,5,5
"1685",5,5,5,3,5
"1687",5,5,5,5,5
"1688",5,5,5,5,5
"1689",5,5,5,4,5
"1690",5,5,5,4,5
"1691",5,5,5,5,5
"1692",5,5,5,5,5
"1699",5,5,5,5,5
"1706",5,5,5,5,5
"1707",5,5,5,5,5
"1708",5,5,5,5,5
"1709",5,5,5,5,5
"1713",5,5,5,5,5
"1719",5,5,5,5,5
"1720",5,5,4,5,5
"1721",5,5,5,5,5
"1723",5,5,5,5,5
"1724",5,5,5,4,5
"1725",5,5,5,5,5
"1727",5,5,5,5,5
"1729",5,5,5,5,5
"1730",5,5,5,5,5
"1738",5,4,4,5,5
"1744",5,4,4,5,5
"1745",5,5,5,4,5
"1746",5,4,4,3,5
"1749",5,5,5,5,5
"1751",5,5,5,5,5
"1753",5,5,5,5,5
"1761",5,5,5,3,5
"1762",5,5,5,5,5
"1766",5,5,4,5,5
"1769",5,5,5,5,5
"1774",5,5,5,5,5
"1780",5,5,5,5,5
"1783",5,5,5,5,5
"1786",5,5,5,5,5
"1787",5,4,5,5,5
"1788",5,5,5,5,5
"1790",5,5,5,5,5
"1792",5,5,4,4,5
"1794",5,5,5,5,5
"1795",5,5,5,5,5
"1797",4,5,5,5,5
"1798",5,5,0,5,5
"1800",5,5,5,5,5
"1801",5,5,4,5,5
"1808",5,5,5,5,5
"1822",5,5,5,5,5
"1824",5,5,4,3,5
"1829",5,5,4,5,5
"1833",4,5,4,4,5
"1834",5,5,4,5,5
"1835",5,5,5,5,5
"1836",5,5,5,5,5
"1839",5,5,5,5,5
"1840",5,5,4,3,5
"1841",5,5,5,4,5
"1842",5,4,4,4,5
"1846",5,5,5,5,5
"1849",5,5,5,5,5
"1850",5,5,5,5,5
"1854",5,5,5,5,5
"1856",5,5,4,5,5
"1861",5,5,5,5,5
"1863",5,5,5,5,5
"1866",5,5,5,5,5
"1867",5,5,5,4,5
"1869",5,5,5,5,5
"1870",5,5,5,5,5
"1871",5,5,5,4,5
"1872",5,5,5,5,5
"1873",5,5,5,5,5
"1874",5,5,4,5,5
"1875",5,5,5,5,5
"1876",5,5,4,5,5
"1877",5,5,5,3,5
"1879",5,5,5,5,5
"1880",5,5,5,5,5
"1881",5,5,5,5,5
"1882",5,4,4,5,5
"1883",5,4,5,5,5
"1886",5,5,5,5,5
"1887",5,5,5,5,5
"1888",5,5,5,4,5
"1893",5,5,4,5,5
"1894",5,5,4,4,5
"1897",5,5,5,5,5
"1898",5,5,5,5,5
"1900",5,5,5,5,5
"1902",5,5,5,5,5
"1903",5,4,4,5,5
"1904",5,5,3,5,5
"1909",5,5,5,5,5
"1910",5,5,5,4,5
"1911",5,5,5,5,5
"1912",5,5,5,5,5
"1914",5,5,5,5,5
"1917",5,5,5,5,5
"1919",5,5,4,5,5
"1920",5,5,5,5,5
"1921",5,5,5,5,5
"1923",5,5,4,5,5
"1924",5,5,4,5,5
"1925",5,5,5,5,5
"1928",5,5,5,4,5
"1929",5,5,5,5,5
"1930",5,5,5,5,5
"1933",5,5,5,3,5
"1935",5,5,5,4,5
"1937",5,5,5,5,5
"1939",5,5,5,5,5
"1946",5,5,5,3,5
"1947",5,5,5,3,5
"1948",5,5,5,3,5
"1949",5,5,5,4,5
"1951",4,5,5,4,5
"1952",5,5,5,5,5
"1953",5,5,5,5,5
"1955",5,5,5,5,5
"1956",5,5,5,5,5
"1958",4,5,5,4,5
"1960",5,5,5,5,5
"1962",5,5,5,5,5
"1963",5,4,4,5,5
"1969",5,5,4,5,5
"1970",5,5,3,5,5
"1976",5,5,4,4,5
"1977",5,5,5,4,5
"1979",5,5,3,4,5
"1981",5,5,4,5,5
"1982",4,4,4,5,5
"1983",5,5,5,5,5
"1984",5,4,4,5,5
"1985",5,5,5,5,5
"1987",5,4,5,4,5
"1992",5,5,5,5,5
"1993",5,5,5,5,5
"1994",5,5,4,4,5
"1997",5,5,5,5,5
"1998",5,5,4,5,5
"2001",5,5,5,5,5
"2007",5,4,5,1,5
"2009",5,5,5,5,5
"2010",5,4,5,4,5
"2013",5,5,4,5,5
"2017",5,5,5,3,5
"2018",5,5,5,5,5
"2020",5,5,5,5,5
"2021",5,5,5,5,5
"2022",5,5,4,5,5
"2024",5,5,5,5,5
"2028",5,4,5,4,5
"2029",5,4,5,4,5
"2031",5,4,5,5,5
"2032",5,5,5,5,5
"2035",5,5,5,3,5
"2037",5,5,4,4,5
"2039",5,5,5,5,5
"2040",5,5,4,4,5
"2043",5,5,5,5,5
"2044",5,5,5,4,5
"2047",5,4,4,5,5
"2048",5,5,5,5,5
"2049",5,5,5,4,5
"2052",5,5,5,5,5
"2053",5,5,4,5,5
"2056",5,5,4,5,5
"2057",5,5,5,5,5
"2059",5,5,5,5,5
"2064",5,5,5,5,5
"2066",5,5,5,5,5
"2071",5,5,4,5,5
"2072",5,5,5,1,5
"2073",5,5,5,5,5
"2074",5,5,5,5,5
"2076",5,5,4,4,5
"2078",5,5,5,5,5
"2079",5,4,5,4,5
"2080",5,4,4,4,5
"2083",5,5,4,5,5
"2085",5,5,5,5,5
"2087",5,5,5,5,5
"2088",5,5,3,5,5
"2089",5,5,5,5,5
"2090",5,5,5,5,5
"2097",5,5,5,5,5
"2101",5,5,5,3,5
"2102",5,5,5,5,5
"2103",5,5,4,5,5
"2106",5,5,5,5,5
"2107",5,5,5,4,5
"2108",5,5,4,5,5
"2109",5,4,4,4,5
"2112",4,5,4,5,5
"2113",5,5,5,5,5
"2114",5,5,5,5,5
"2116",4,5,4,5,5
"2117",5,4,3,4,5
"2118",5,4,5,5,5
"2119",5,5,5,5,5
"2124",5,5,5,5,5
"2125",5,5,5,5,5
"2126",5,5,5,5,5
"2127",5,5,4,5,5
"2128",5,5,5,5,5
"2129",5,5,5,4,5
"2131",5,5,5,4,5
"2132",5,5,5,5,5
"2133",5,5,5,5,5
"2135",5,5,4,4,5
"2136",5,4,5,5,5
"2137",5,5,5,4,5
"2138",5,5,4,5,5
"2142",5,5,5,5,5
