"from","to"
236,8772
236,8773
236,8774
237,5635
237,8775
237,8776
237,8777
238,8824
238,8825
239,8834
240,8884
247,94
247,9022
248,6428
248,9028
249,9037
249,9038
250,9079
250,9080
250,9081
250,9082
251,9105
251,9106
251,27
251,9107
251,9108
251,9109
251,9110
251,118
251,9111
251,4721
251,4718
251,9112
251,9113
252,9139
252,8745
252,8744
252,1476
252,9140
252,9141
252,9142
252,9143
252,9144
252,9145
252,2218
255,9207
255,9208
255,42
256,9250
256,2079
256,2400
258,9321
258,4824
258,341
258,42
258,9322
258,9323
258,9324
258,9325
258,9326
258,9327
258,9328
258,9329
258,9330
258,9331
258,9332
258,9333
258,9334
258,9335
258,9336
258,9337
258,9338
258,9282
258,9339
258,9340
258,9341
258,9342
258,9343
258,9344
258,9345
258,9346
258,9347
258,9350
258,9351
258,9352
258,9354
258,9355
258,9357
258,9358
258,9359
258,9360
258,9362
258,9363
258,9364
259,9389
259,9390
260,9438
260,9439
261,9482
263,1661
263,9543
264,119
264,392
264,9578
264,1078
264,9579
264,9580
264,9581
264,4759
264,9582
264,8699
264,9583
264,9584
264,9585
264,9586
264,9587
264,9588
264,9590
264,5972
264,9592
270,2079
270,1084
271,4594
272,2023
272,1662
273,6428
279,7853
279,6428
287,5856
288,1
290,1661
299,3020
301,4441
303,345
303,7661
307,1080
308,17
309,1080
315,1812
319,15
319,32
327,259
330,6428
332,2476
335,94
339,6107
341,1
341,4982
341,8098
343,75
360,6428
370,610
376,1661
382,6428
385,4441
386,127
390,6798
392,9590
392,264
393,4823
393,4824
393,3019
394,1489
401,1
401,455
402,2867
403,433
403,1
407,122
408,340
408,4824
408,7902
408,393
410,1
410,4594
412,1
414,456
414,4239
414,433
414,1
417,1
418,452
419,200
420,4824
423,4824
424,4824
424,5805
425,458
425,1
426,23
426,1
426,8018
426,8017
426,7882
427,1
429,433
429,1
429,1493
430,4824
430,1
431,1
431,2
432,433
432,1
432,1493
433,452
434,465
437,1
437,4824
437,1490
437,1491
437,12
437,4
437,16
438,4824
438,1
439,465
440,4824
441,1
442,1
442,2827
445,7592
445,341
446,1
447,1
447,1476
447,1493
447,1494
448,82
448,341
448,7895
448,5785
448,3330
448,1813
448,1810
448,1807
448,473
449,23
449,1
449,3938
449,9543
450,1
451,4824
452,4824
452,455
452,33
452,4339
453,4824
454,1
454,7895
454,341
456,212
456,461
457,451
458,4824
458,455
459,4824
459,4967
461,1
465,464
465,1
466,9467
466,2410
466,3938
466,473
466,1491
466,2
469,2
473,8718
473,2
475,3857
476,483
477,2
478,2
478,9543
478,7896
483,8718
483,2
484,3
484,534
485,484
485,533
485,534
486,148
486,6428
487,148
487,6428
488,148
488,6428
489,148
489,6428
490,148
490,6428
491,148
491,6428
492,148
492,6428
493,148
493,6428
494,148
494,6428
495,148
495,6428
496,148
496,6428
497,148
497,6428
498,148
498,6428
499,148
499,6428
500,148
500,6428
501,148
501,6428
502,148
502,6428
503,148
503,6428
505,148
505,6428
506,148
506,6428
507,148
507,6428
508,148
508,6428
509,148
509,6428
510,148
510,6428
511,148
511,6428
512,148
512,6428
513,148
513,6428
514,148
514,6428
515,148
515,6428
516,148
516,6428
517,148
517,6428
518,148
518,6428
519,148
519,6428
520,148
520,6428
521,148
521,6428
522,148
522,6428
523,148
523,6428
524,148
524,6428
525,148
525,6428
526,148
526,6428
527,148
527,6428
528,148
528,6428
529,148
529,6428
530,148
530,6428
531,148
531,6428
532,148
532,6428
538,4
539,590
539,4
542,2
542,19
542,4824
543,4
544,322
544,566
544,4
544,590
545,590
545,4
546,322
546,539
546,1459
546,2413
546,33
546,4
547,322
547,2413
547,4
548,4
550,4
552,322
552,566
552,4
552,590
553,4
554,4
554,546
555,590
555,322
555,539
557,4
557,590
558,8766
558,3940
559,590
559,4
560,4
561,4
562,590
563,4
564,4
566,4
568,4
569,4
570,4
571,4
572,4
572,546
573,4
576,4
577,4
577,12
577,8721
577,473
578,590
580,1618
580,9578
580,4
580,546
581,4
581,3938
582,4
588,591
592,598
592,599
592,600
592,601
592,602
592,603
592,604
592,605
592,606
592,607
592,608
592,609
592,610
592,611
592,612
592,613
592,83
592,614
592,615
592,616
592,617
592,618
592,619
593,1378
593,8591
595,5
596,592
596,601
596,604
596,602
596,600
596,598
596,603
596,1752
605,67
605,1863
605,1864
606,1662
606,27
607,5065
607,5066
607,5042
607,4941
608,8672
624,5066
625,6
625,459
631,212
635,6
642,6
656,6
658,5805
662,6
665,8717
673,6428
674,1807
674,1810
674,33
674,2466
676,2407
682,1984
682,1812
682,1807
683,1807
683,1810
683,1813
683,603
683,1809
684,7
688,8471
688,8725
688,2174
693,7
693,88
695,1807
695,4967
695,4035
695,7853
696,7
696,65
696,2827
697,1807
697,4967
697,4035
698,1807
698,4967
698,4035
698,7853
699,7
701,11
701,7
708,8675
708,8686
708,8688
708,8690
708,6136
708,8653
708,8734
708,8685
708,8666
708,6179
708,8757
708,8693
708,8696
708,8672
708,8755
708,8670
709,8654
709,2466
709,3856
709,8755
709,4968
709,603
711,2411
713,8688
714,7
714,4967
714,788
715,2677
716,2367
716,1984
716,1807
716,1812
717,394
717,2409
717,2412
719,7
720,6428
721,738
721,739
722,738
722,739
723,738
723,739
724,736
724,729
724,738
724,739
725,738
725,739
726,731
726,732
726,733
726,734
726,735
726,738
726,739
727,726
727,721
727,738
727,739
728,726
728,721
728,738
728,739
729,198
729,738
729,739
730,736
730,729
730,738
730,739
731,738
731,739
732,739
732,738
733,738
733,739
734,728
734,738
734,739
735,738
735,739
736,731
736,732
736,733
736,734
736,735
736,738
736,739
737,732
737,735
737,738
737,739
738,1221
738,7853
740,10
740,8708
740,5249
740,9
740,295
740,1811
740,1619
740,1810
741,9
742,8720
742,9
742,8718
743,1080
743,7668
743,9
743,104
743,3031
743,38
743,267
743,109
743,3433
743,15
743,32
743,3021
743,1325
743,128
743,74
743,71
743,220
744,341
744,7895
746,9
746,337
747,8659
747,8755
747,9
747,38
747,6680
748,1
748,82
748,1493
748,9
748,337
749,2079
749,9
749,1
751,71
751,104
751,3021
751,5666
751,9
751,1812
754,337
754,1
754,9
755,15
755,9
755,6176
757,38
757,9
760,9
761,1080
761,9
761,1813
761,1807
761,6682
761,3857
762,9
763,9
764,1080
764,9
764,1076
764,83
764,1813
764,1807
764,6682
764,472
764,3857
766,9
766,1813
767,2
767,8757
767,8653
767,267
767,1807
767,9
767,473
769,8653
769,8666
769,8672
769,8757
769,1080
769,27
769,34
769,46
769,32
769,15
769,9
769,1287
769,340
769,2969
769,38
769,257
770,9
771,9
774,9
774,1810
774,1807
774,1812
775,9
775,1810
775,1807
775,1812
776,1080
776,175
776,28
776,267
776,38
776,340
776,2678
776,9
776,8630
777,9
777,9144
777,2218
777,1807
777,1619
777,1811
778,8721
778,9
781,359
781,1080
781,31
781,38
781,299
781,109
781,9
781,71
781,3021
781,314
781,17
781,116
781,298
781,73
781,88
781,30
782,9
782,298
785,128
785,3023
785,9
785,398
785,267
788,103
788,1307
788,1308
788,1309
789,2400
789,2827
789,8690
789,8653
789,32
789,10
789,15
789,1080
789,3996
789,309
789,39
792,8767
792,5020
792,10
792,128
792,8710
793,10
794,127
794,32
794,15
794,10
795,10
795,27
795,1233
796,127
796,4982
796,10
796,7112
797,1236
797,605
797,4979
797,7112
797,10
797,127
797,15
797,257
797,2657
797,13
797,42
797,1225
797,5909
797,129
797,888
797,64
798,1080
798,8622
798,7111
798,8623
798,7112
798,32
798,4982
798,129
798,15
798,887
798,64
798,149
798,128
798,10
799,7112
799,127
799,10
799,149
799,112
799,803
799,333
799,151
799,36
799,56
799,3021
799,3188
799,57
799,123
799,37
799,46
799,15
799,386
799,13
799,7114
800,127
800,10
800,8653
801,10
801,7078
805,7112
805,127
805,10
805,4982
806,931
806,10
806,932
806,933
806,934
806,935
806,46
806,936
806,937
807,931
807,10
807,932
807,933
807,934
807,935
807,46
807,936
807,937
808,10
808,4982
808,127
808,32
808,129
808,2668
808,818
808,4941
808,333
809,10
810,10
811,5042
811,5065
811,5066
811,1618
811,129
811,127
811,10
813,64
813,13
813,10
813,7112
813,333
813,4941
813,755
813,864
813,15
813,129
813,1080
813,52
813,46
813,37
813,123
813,94
813,56
813,36
813,27
813,1256
813,38
813,1522
814,10
814,7112
814,1080
814,5042
814,46
814,32
814,2418
814,15
814,1079
814,8653
814,134
814,8666
814,6179
814,8710
814,13
814,4035
814,2658
814,4008
815,2654
815,10
815,4980
815,7112
815,186
816,10
816,64
816,3996
816,13
816,3975
816,8750
817,1083
817,10
817,8666
818,10
818,64
818,15
818,32
818,6896
818,125
818,129
819,139
819,129
819,127
819,4982
819,15
819,8622
819,10
819,9
819,8653
819,5423
819,602
819,603
819,8672
820,149
820,10
820,386
820,4008
821,13
821,1225
821,10
822,8672
822,112
822,46
822,10
822,4982
822,15
822,4989
822,386
822,129
822,4008
822,3926
823,38
823,8623
823,2002
823,4468
823,127
823,10
823,15
823,4982
823,32
823,129
823,1618
823,1662
823,6858
823,8672
823,937
823,8653
824,10
824,64
824,13
825,9543
825,1619
825,1813
825,8743
825,2828
825,8667
825,483
825,8726
825,8666
825,8750
825,3433
825,1522
825,15
825,32
825,3021
825,1325
826,4008
826,7112
826,15
826,127
826,10
827,10
828,7112
828,10
828,1080
828,129
828,32
828,15
828,64
828,13
828,333
828,4964
829,38
829,8623
829,2002
829,4468
829,127
829,10
829,15
829,4982
829,32
829,129
829,1618
829,1662
829,6858
829,8672
829,937
829,8653
830,7112
830,4982
830,10
830,8672
830,8653
831,8630
831,8631
831,42
831,7111
831,32
831,5066
831,4982
831,129
831,2654
831,149
831,64
831,10
831,1225
831,101
831,333
831,1510
831,7112
832,182
832,28
832,359
832,38
832,4982
832,10
832,94
832,101
832,864
832,160
832,57
832,34
832,129
832,127
832,161
832,46
832,32
832,806
833,1618
833,377
833,160
833,6948
833,5042
833,10
833,7112
833,5066
833,5065
833,7790
833,3020
834,10
834,27
834,8653
834,1495
834,3938
834,31
834,7906
834,32
834,1080
834,15
834,8672
834,1807
834,1808
834,1619
834,6428
834,9028
836,11
837,11
841,843
844,12
850,852
850,13
850,1
851,13
851,2672
853,13
854,10
854,4982
854,5065
854,5066
854,46
854,1810
854,1225
854,1628
854,1080
854,126
854,7111
854,68
854,34
854,3020
854,1476
858,64
858,2664
858,7175
858,10
858,1618
858,5065
858,8707
858,3996
858,850
861,1476
861,1490
862,7175
862,10
862,1618
862,5065
862,8707
862,3996
864,101
864,10
864,4982
864,386
864,15
864,129
866,2400
866,3996
866,8750
866,13
866,1854
868,13
871,13
871,337
871,1080
872,64
872,5905
873,10
873,3411
877,1661
877,7211
879,10
879,7112
879,127
879,5065
879,5066
879,1225
879,5909
879,376
879,2664
879,7903
879,38
879,3433
879,1080
879,2007
879,139
879,101
879,1845
882,8630
882,8631
882,128
882,64
882,13
882,1080
882,15
882,8633
882,8636
882,8638
882,8642
882,8646
882,8648
882,8650
885,5514
885,13
886,1807
886,1812
886,149
886,5066
886,32
886,13
886,64
886,5347
886,599
893,5066
896,4982
898,6211
898,162
898,32
899,10
900,129
900,806
900,1080
901,2409
902,4989
902,900
902,2789
904,15
904,4982
904,1662
904,272
904,598
904,133
905,9187
908,3021
908,1325
908,1080
908,1522
908,32
908,3433
908,8653
908,8708
911,8672
911,15
911,32
911,340
911,170
911,6017
911,599
911,603
911,1813
911,1810
911,1812
911,1808
911,1811
911,1809
911,1807
912,15
912,4982
912,247
913,1080
913,46
913,263
913,27
913,52
913,15
913,32
913,2789
913,127
913,4982
913,64
915,15
916,15
916,32
916,129
918,15
919,8672
919,15
920,5066
920,5065
921,2409
922,5066
922,5065
922,4982
922,10
924,1446
925,27
925,52
925,32
925,1080
925,84
925,94
925,3445
925,37
925,15
925,1812
930,1080
930,15
930,32
932,806
933,15
936,2476
938,16
939,16
944,16
945,16
945,1661
947,16
948,16
948,31
948,8726
951,599
951,598
951,3023
953,947
956,31
959,85
959,8688
959,285
964,1390
964,6056
964,2793
965,17
965,357
965,1813
965,598
965,603
965,602
965,8672
965,806
965,32
965,8717
967,17
968,5616
968,172
968,8726
968,8774
970,6092
971,998
973,605
973,18
973,3536
973,8007
979,18
981,18
983,18
986,974
986,8735
986,8688
986,3938
986,18
987,18
989,18
989,63
989,228
990,4
990,18
991,18
993,1492
993,2419
993,18
993,2424
994,18
996,7906
997,18
998,18
999,8693
1006,18
1007,18
1012,18
1012,3938
1015,8718
1016,280
1018,18
1018,7906
1019,18
1019,7906
1019,7903
1020,2079
1023,8719
1023,19
1023,3330
1023,1
1024,8719
1024,19
1024,3330
1024,1
1025,74
1025,18
1025,7763
1025,1687
1026,7756
1026,8745
1026,1
1026,1489
1026,1476
1026,7
1026,73
1026,1492
1026,33
1026,19
1026,205
1029,76
1029,299
1029,150
1031,7591
1031,76
1031,299
1031,150
1031,1309
1039,1163
1039,1164
1039,1165
1039,1166
1039,1167
1040,20
1042,1058
1042,20
1043,20
1044,20
1047,1264
1047,1813
1047,2466
1047,55
1048,20
1048,1058
1050,1065
1054,20
1058,20
1058,1044
1058,1068
1061,20
1063,7906
1063,1687
1063,8724
1063,20
1063,3856
1063,2466
1063,8717
1063,8672
1064,20
1064,1058
1065,20
1066,7761
1066,1058
1066,8735
1066,619
1067,20
1068,1058
1068,20
1070,20
1070,7906
1071,7906
1071,1687
1071,20
1072,8666
1072,8750
1072,8672
1072,3926
1073,1077
1075,2217
1080,67
1080,1863
1080,1864
1086,21
1090,4824
1091,1661
1091,21
1093,21
1094,1661
1094,21
1096,844
1096,3075
1096,4245
1099,23
1102,23
1103,1
1103,23
1105,4824
1105,23
1106,3317
1106,107
1106,4824
1107,1260
1108,24
1110,24
1110,1113
1113,1426
1113,1427
1115,25
1115,378
1115,383
1116,25
1116,200
1116,7591
1117,25
1117,1039
1117,7591
1117,1
1117,200
1117,1476
1118,2079
1118,7896
1120,1163
1122,1
1122,1116
1123,25
1126,23
1126,1
1130,25
1132,25
1133,1136
1133,1139
1133,1135
1135,1136
1135,1139
1138,25
1140,23
1140,1
1146,585
1147,585
1149,7591
1149,7896
1152,1807
1152,1116
1155,25
1156,603
1156,25
1156,137
1157,23
1157,1
1157,7591
1157,7896
1158,7591
1158,7896
1159,1163
1160,1
1162,25
1162,9543
1171,598
1171,603
1171,1172
1174,1172
1175,26
1177,26
1180,26
1182,8690
1182,15
1182,5065
1182,4982
1186,8098
1196,7906
1196,1459
1196,8717
1196,483
1196,9037
1197,1812
1216,1807
1216,5347
1216,1813
1216,4893
1219,2079
1220,26
1222,26
1226,2217
1228,27
1228,1389
1229,4722
1229,1661
1230,27
1230,5046
1233,4716
1233,9111
1233,4718
1233,9112
1233,4688
1235,4716
1235,9111
1235,4718
1235,9112
1235,4688
1236,3996
1236,3997
1236,3998
1236,3999
1236,3974
1236,4000
1236,4002
1236,605
1236,8622
1236,1287
1236,64
1236,32
1236,15
1236,1325
1236,46
1236,52
1236,263
1236,27
1236,325
1236,37
1236,89
1236,371
1236,163
1236,2007
1236,139
1236,309
1236,3021
1236,94
1236,161
1236,335
1236,247
1236,201
1236,305
1236,85
1236,84
1236,6947
1236,151
1236,36
1236,56
1236,3188
1236,34
1236,253
1236,277
1237,27
1240,27
1240,5673
1240,42
1242,455
1242,461
1242,1496
1242,279
1242,141
1242,89
1243,9109
1243,1233
1245,27
1246,6947
1246,94
1246,27
1249,27
1249,8691
1252,3021
1252,305
1252,201
1252,85
1252,84
1252,151
1252,36
1252,56
1252,3188
1252,253
1252,89
1252,2
1253,27
1253,2409
1253,2410
1253,2413
1253,2412
1254,15
1254,32
1254,1080
1254,46
1254,263
1254,27
1254,52
1257,85
1257,8726
1257,8774
1257,32
1257,15
1257,8707
1257,8672
1260,1113
1261,27
1261,141
1261,144
1261,168
1263,27
1263,315
1264,1265
1264,1266
1269,28
1269,8637
1269,8638
1269,8641
1269,8642
1269,8643
1269,8648
1270,3020
1272,3020
1273,8650
1273,28
1274,3020
1280,1661
1280,1309
1281,7756
1281,99
1281,7899
1281,3409
1281,598
1281,603
1281,8623
1281,7642
1281,3188
1281,123
1281,8752
1281,8666
1281,6179
1281,8693
1282,6428
1283,116
1283,3022
1283,7899
1283,3023
1283,1080
1283,123
1283,91
1283,253
1283,8756
1284,28
1286,5045
1286,1262
1286,32
1286,1618
1286,160
1286,151
1286,4941
1286,263
1286,27
1286,94
1286,8621
1286,84
1286,64
1286,333
1286,129
1286,253
1286,161
1286,3941
1286,1662
1286,5066
1286,3022
1286,89
1286,3806
1286,34
1286,1661
1286,141
1286,28
1286,3019
1287,28
1287,1080
1287,46
1287,129
1287,27
1287,3021
1287,1325
1287,34
1287,32
1287,263
1287,15
1287,7112
1287,10
1287,7111
1287,3026
1289,610
1289,8468
1289,2620
1291,2141
1291,3019
1291,3020
1291,5754
1292,5979
1294,28
1294,1080
1295,605
1295,255
1295,380
1295,231
1295,263
1295,141
1295,28
1295,57
1295,34
1295,335
1295,37
1296,385
1296,7470
1296,598
1296,3409
1296,295
1296,7906
1296,2612
1299,605
1299,255
1299,380
1299,231
1299,263
1299,141
1299,28
1299,57
1299,34
1299,335
1299,37
1299,1807
1300,385
1300,7470
1300,598
1300,3409
1300,295
1300,7906
1300,2612
