instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,total
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,97
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,63
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,65
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,83
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,212
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,182
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,112
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,54
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,48
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,35
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,11
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,6
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,6
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,2
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,2
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,3
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,33
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,88
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,195
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,115
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,57
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,46
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,79
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,71
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,62
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,62
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,89
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,190
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,169
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,132
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,89
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,43
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,42
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,19
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,11
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,4
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,2
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,1
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,4
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,36
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,95
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,219
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,122
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,45
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,59
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,84
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,67
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,70
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,62
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,86
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,172
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,163
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,112
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,69
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,48
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,52
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,23
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,17
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,7
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,1
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,1
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,5
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,34
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,84
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,210
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,134
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,63
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,67
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,59
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,73
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,50
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,72
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,87
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,187
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,123
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,95
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,51
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,39
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,36
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,15
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,25
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,16
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,16
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,7
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,1
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,5
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,2
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,9
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,15
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,20
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,61
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,62
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,98
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,102
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,95
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,74
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,76
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,69
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,55
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,30
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,28
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,37
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,34
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,22
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,25
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,12
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,11
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,4
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,1
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,1
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,1
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,6
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,10
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,19
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,49
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,49
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,83
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,75
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,72
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,82
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,92
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,62
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,48
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,41
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,38
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,20
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,15
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,6
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,5
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,1
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,3
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,1
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,3
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,3
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,31
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,77
218,2011-01-10,1,0,1,8,0,1,1,2,0.12,188
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,94
220,2011-01-10,1,0,1,10,0,1,1,2,0.14,31
221,2011-01-10,1,0,1,11,0,1,1,2,0.16,30
222,2011-01-10,1,0,1,12,0,1,1,2,0.2,52
223,2011-01-10,1,0,1,13,0,1,1,2,0.2,54
224,2011-01-10,1,0,1,14,0,1,1,2,0.2,47
225,2011-01-10,1,0,1,15,0,1,1,2,0.2,45
226,2011-01-10,1,0,1,16,0,1,1,1,0.2,74
227,2011-01-10,1,0,1,17,0,1,1,1,0.2,178
228,2011-01-10,1,0,1,18,0,1,1,1,0.2,155
229,2011-01-10,1,0,1,19,0,1,1,1,0.16,95
230,2011-01-10,1,0,1,20,0,1,1,1,0.16,74
231,2011-01-10,1,0,1,21,0,1,1,1,0.14,38
232,2011-01-10,1,0,1,22,0,1,1,1,0.14,24
233,2011-01-10,1,0,1,23,0,1,1,1,0.14,18
234,2011-01-11,1,0,1,0,0,2,1,1,0.14,12
235,2011-01-11,1,0,1,1,0,2,1,1,0.14,3
236,2011-01-11,1,0,1,2,0,2,1,2,0.16,3
237,2011-01-11,1,0,1,5,0,2,1,2,0.16,6
238,2011-01-11,1,0,1,6,0,2,1,2,0.16,27
239,2011-01-11,1,0,1,7,0,2,1,2,0.16,99
240,2011-01-11,1,0,1,8,0,2,1,2,0.18,217
241,2011-01-11,1,0,1,9,0,2,1,2,0.18,130
242,2011-01-11,1,0,1,10,0,2,1,2,0.2,54
243,2011-01-11,1,0,1,11,0,2,1,2,0.2,35
244,2011-01-11,1,0,1,12,0,2,1,2,0.2,57
245,2011-01-11,1,0,1,13,0,2,1,2,0.2,52
246,2011-01-11,1,0,1,14,0,2,1,2,0.2,63
247,2011-01-11,1,0,1,15,0,2,1,2,0.16,47
248,2011-01-11,1,0,1,16,0,2,1,2,0.16,76
249,2011-01-11,1,0,1,17,0,2,1,2,0.16,136
250,2011-01-11,1,0,1,18,0,2,1,3,0.16,95
251,2011-01-11,1,0,1,19,0,2,1,3,0.16,51
252,2011-01-11,1,0,1,20,0,2,1,3,0.16,32
253,2011-01-11,1,0,1,21,0,2,1,3,0.16,20
254,2011-01-11,1,0,1,22,0,2,1,3,0.16,29
255,2011-01-11,1,0,1,23,0,2,1,3,0.16,19
256,2011-01-12,1,0,1,0,0,3,1,2,0.16,7
257,2011-01-12,1,0,1,1,0,3,1,2,0.16,6
258,2011-01-12,1,0,1,2,0,3,1,1,0.14,1
259,2011-01-12,1,0,1,5,0,3,1,1,0.14,5
260,2011-01-12,1,0,1,6,0,3,1,1,0.12,16
261,2011-01-12,1,0,1,7,0,3,1,1,0.14,54
262,2011-01-12,1,0,1,8,0,3,1,1,0.16,128
263,2011-01-12,1,0,1,9,0,3,1,1,0.16,81
264,2011-01-12,1,0,1,10,0,3,1,1,0.18,39
265,2011-01-12,1,0,1,11,0,3,1,1,0.2,35
266,2011-01-12,1,0,1,12,0,3,1,1,0.2,55
267,2011-01-12,1,0,1,13,0,3,1,1,0.22,49
268,2011-01-12,1,0,1,14,0,3,1,1,0.2,44
269,2011-01-12,1,0,1,15,0,3,1,1,0.2,49
270,2011-01-12,1,0,1,16,0,3,1,1,0.22,68
271,2011-01-12,1,0,1,17,0,3,1,1,0.2,139
272,2011-01-12,1,0,1,18,0,3,1,1,0.2,137
273,2011-01-12,1,0,1,19,0,3,1,1,0.18,83
274,2011-01-12,1,0,1,20,0,3,1,1,0.16,56
275,2011-01-12,1,0,1,21,0,3,1,1,0.16,57
276,2011-01-12,1,0,1,22,0,3,1,1,0.16,33
277,2011-01-12,1,0,1,23,0,3,1,1,0.14,20
278,2011-01-13,1,0,1,0,0,4,1,1,0.14,7
279,2011-01-13,1,0,1,1,0,4,1,1,0.14,2
280,2011-01-13,1,0,1,2,0,4,1,1,0.14,2
281,2011-01-13,1,0,1,3,0,4,1,1,0.14,3
282,2011-01-13,1,0,1,4,0,4,1,1,0.14,4
283,2011-01-13,1,0,1,5,0,4,1,1,0.14,3
284,2011-01-13,1,0,1,6,0,4,1,1,0.12,28
285,2011-01-13,1,0,1,7,0,4,1,1,0.12,72
286,2011-01-13,1,0,1,8,0,4,1,1,0.14,202
287,2011-01-13,1,0,1,9,0,4,1,1,0.14,139
288,2011-01-13,1,0,1,10,0,4,1,2,0.16,38
289,2011-01-13,1,0,1,11,0,4,1,2,0.2,37
290,2011-01-13,1,0,1,12,0,4,1,1,0.2,52
291,2011-01-13,1,0,1,13,0,4,1,1,0.22,83
292,2011-01-13,1,0,1,14,0,4,1,1,0.22,42
293,2011-01-13,1,0,1,15,0,4,1,1,0.24,60
294,2011-01-13,1,0,1,16,0,4,1,1,0.24,78
295,2011-01-13,1,0,1,17,0,4,1,1,0.2,162
296,2011-01-13,1,0,1,18,0,4,1,1,0.2,144
297,2011-01-13,1,0,1,19,0,4,1,1,0.16,99
298,2011-01-13,1,0,1,20,0,4,1,1,0.16,64
299,2011-01-13,1,0,1,21,0,4,1,1,0.14,40
300,2011-01-13,1,0,1,22,0,4,1,1,0.14,30
301,2011-01-13,1,0,1,23,0,4,1,1,0.12,15
302,2011-01-14,1,0,1,0,0,5,1,1,0.12,14
303,2011-01-14,1,0,1,1,0,5,1,1,0.1,5
304,2011-01-14,1,0,1,2,0,5,1,1,0.1,1
305,2011-01-14,1,0,1,3,0,5,1,1,0.1,1
306,2011-01-14,1,0,1,5,0,5,1,1,0.1,8
307,2011-01-14,1,0,1,6,0,5,1,1,0.1,17
308,2011-01-14,1,0,1,7,0,5,1,1,0.1,70
309,2011-01-14,1,0,1,8,0,5,1,1,0.12,158
310,2011-01-14,1,0,1,9,0,5,1,1,0.14,117
311,2011-01-14,1,0,1,10,0,5,1,1,0.18,44
312,2011-01-14,1,0,1,11,0,5,1,1,0.18,53
313,2011-01-14,1,0,1,12,0,5,1,1,0.2,61
314,2011-01-14,1,0,1,13,0,5,1,1,0.22,77
315,2011-01-14,1,0,1,14,0,5,1,1,0.22,64
316,2011-01-14,1,0,1,15,0,5,1,1,0.24,68
317,2011-01-14,1,0,1,16,0,5,1,1,0.22,90
318,2011-01-14,1,0,1,17,0,5,1,1,0.22,159
319,2011-01-14,1,0,1,18,0,5,1,1,0.2,139
320,2011-01-14,1,0,1,19,0,5,1,1,0.16,92
321,2011-01-14,1,0,1,20,0,5,1,1,0.18,68
322,2011-01-14,1,0,1,21,0,5,1,1,0.16,52
323,2011-01-14,1,0,1,22,0,5,1,2,0.16,36
324,2011-01-14,1,0,1,23,0,5,1,2,0.18,27
325,2011-01-15,1,0,1,0,0,6,0,1,0.18,28
326,2011-01-15,1,0,1,1,0,6,0,2,0.16,20
327,2011-01-15,1,0,1,2,0,6,0,2,0.16,12
328,2011-01-15,1,0,1,3,0,6,0,2,0.16,8
329,2011-01-15,1,0,1,4,0,6,0,2,0.16,5
330,2011-01-15,1,0,1,5,0,6,0,1,0.16,1
331,2011-01-15,1,0,1,6,0,6,0,1,0.14,3
332,2011-01-15,1,0,1,7,0,6,0,1,0.14,10
333,2011-01-15,1,0,1,8,0,6,0,1,0.14,23
334,2011-01-15,1,0,1,9,0,6,0,1,0.16,33
335,2011-01-15,1,0,1,10,0,6,0,1,0.18,59
336,2011-01-15,1,0,1,11,0,6,0,1,0.2,72
337,2011-01-15,1,0,1,12,0,6,0,1,0.24,89
338,2011-01-15,1,0,1,13,0,6,0,1,0.28,101
339,2011-01-15,1,0,1,14,0,6,0,1,0.3,118
340,2011-01-15,1,0,1,15,0,6,0,2,0.32,129
341,2011-01-15,1,0,1,16,0,6,0,2,0.34,128
342,2011-01-15,1,0,1,17,0,6,0,2,0.32,83
343,2011-01-15,1,0,1,18,0,6,0,2,0.3,84
344,2011-01-15,1,0,1,19,0,6,0,2,0.32,74
345,2011-01-15,1,0,1,20,0,6,0,2,0.32,41
346,2011-01-15,1,0,1,21,0,6,0,2,0.32,57
347,2011-01-15,1,0,1,22,0,6,0,2,0.3,26
348,2011-01-15,1,0,1,23,0,6,0,1,0.3,44
349,2011-01-16,1,0,1,0,0,0,0,1,0.26,39
350,2011-01-16,1,0,1,1,0,0,0,1,0.26,23
351,2011-01-16,1,0,1,2,0,0,0,1,0.26,16
352,2011-01-16,1,0,1,3,0,0,0,1,0.22,15
353,2011-01-16,1,0,1,4,0,0,0,1,0.26,1
354,2011-01-16,1,0,1,5,0,0,0,2,0.26,2
355,2011-01-16,1,0,1,6,0,0,0,2,0.26,1
356,2011-01-16,1,0,1,7,0,0,0,2,0.24,3
357,2011-01-16,1,0,1,8,0,0,0,1,0.22,18
358,2011-01-16,1,0,1,9,0,0,0,1,0.22,32
359,2011-01-16,1,0,1,10,0,0,0,1,0.22,79
360,2011-01-16,1,0,1,11,0,0,0,1,0.24,93
361,2011-01-16,1,0,1,12,0,0,0,1,0.24,104
362,2011-01-16,1,0,1,13,0,0,0,1,0.26,118
363,2011-01-16,1,0,1,14,0,0,0,1,0.28,91
364,2011-01-16,1,0,1,15,0,0,0,1,0.26,113
365,2011-01-16,1,0,1,16,0,0,0,1,0.24,99
366,2011-01-16,1,0,1,17,0,0,0,1,0.22,105
367,2011-01-16,1,0,1,18,0,0,0,1,0.2,67
368,2011-01-16,1,0,1,19,0,0,0,1,0.18,61
369,2011-01-16,1,0,1,20,0,0,0,1,0.18,57
370,2011-01-16,1,0,1,21,0,0,0,1,0.18,28
371,2011-01-16,1,0,1,22,0,0,0,2,0.2,21
372,2011-01-16,1,0,1,23,0,0,0,2,0.2,18
373,2011-01-17,1,0,1,0,1,1,0,2,0.2,17
374,2011-01-17,1,0,1,1,1,1,0,2,0.2,16
375,2011-01-17,1,0,1,2,1,1,0,2,0.18,8
376,2011-01-17,1,0,1,3,1,1,0,2,0.18,2
377,2011-01-17,1,0,1,4,1,1,0,2,0.18,3
378,2011-01-17,1,0,1,5,1,1,0,2,0.18,1
379,2011-01-17,1,0,1,6,1,1,0,2,0.18,5
380,2011-01-17,1,0,1,7,1,1,0,2,0.16,13
381,2011-01-17,1,0,1,8,1,1,0,2,0.16,33
382,2011-01-17,1,0,1,9,1,1,0,2,0.16,47
383,2011-01-17,1,0,1,10,1,1,0,2,0.16,57
384,2011-01-17,1,0,1,11,1,1,0,2,0.16,64
385,2011-01-17,1,0,1,12,1,1,0,2,0.18,80
386,2011-01-17,1,0,1,13,1,1,0,2,0.18,93
387,2011-01-17,1,0,1,14,1,1,0,2,0.18,86
388,2011-01-17,1,0,1,15,1,1,0,2,0.2,93
389,2011-01-17,1,0,1,16,1,1,0,2,0.2,82
390,2011-01-17,1,0,1,17,1,1,0,1,0.2,71
391,2011-01-17,1,0,1,18,1,1,0,2,0.18,92
392,2011-01-17,1,0,1,19,1,1,0,3,0.18,60
393,2011-01-17,1,0,1,20,1,1,0,3,0.16,33
394,2011-01-17,1,0,1,21,1,1,0,3,0.16,27
395,2011-01-17,1,0,1,22,1,1,0,3,0.14,13
396,2011-01-17,1,0,1,23,1,1,0,3,0.16,4
397,2011-01-18,1,0,1,12,0,2,1,2,0.2,3
398,2011-01-18,1,0,1,13,0,2,1,2,0.2,22
399,2011-01-18,1,0,1,14,0,2,1,2,0.22,28
400,2011-01-18,1,0,1,15,0,2,1,2,0.22,35
401,2011-01-18,1,0,1,16,0,2,1,2,0.22,61
402,2011-01-18,1,0,1,17,0,2,1,2,0.22,125
403,2011-01-18,1,0,1,18,0,2,1,2,0.22,133
404,2011-01-18,1,0,1,19,0,2,1,2,0.22,99
405,2011-01-18,1,0,1,20,0,2,1,2,0.22,83
406,2011-01-18,1,0,1,21,0,2,1,2,0.22,41
407,2011-01-18,1,0,1,22,0,2,1,2,0.22,33
408,2011-01-18,1,0,1,23,0,2,1,2,0.22,20
409,2011-01-19,1,0,1,0,0,3,1,2,0.22,3
410,2011-01-19,1,0,1,1,0,3,1,3,0.22,7
411,2011-01-19,1,0,1,2,0,3,1,3,0.22,3
412,2011-01-19,1,0,1,4,0,3,1,3,0.22,2
413,2011-01-19,1,0,1,5,0,3,1,2,0.22,7
414,2011-01-19,1,0,1,6,0,3,1,2,0.22,32
415,2011-01-19,1,0,1,7,0,3,1,2,0.24,90
416,2011-01-19,1,0,1,8,0,3,1,2,0.24,197
417,2011-01-19,1,0,1,9,0,3,1,2,0.24,109
418,2011-01-19,1,0,1,10,0,3,1,2,0.26,47
419,2011-01-19,1,0,1,11,0,3,1,2,0.28,52
420,2011-01-19,1,0,1,12,0,3,1,2,0.3,70
421,2011-01-19,1,0,1,13,0,3,1,1,0.4,78
422,2011-01-19,1,0,1,14,0,3,1,1,0.4,75
423,2011-01-19,1,0,1,15,0,3,1,1,0.4,82
424,2011-01-19,1,0,1,16,0,3,1,1,0.38,104
425,2011-01-19,1,0,1,17,0,3,1,1,0.36,197
426,2011-01-19,1,0,1,18,0,3,1,1,0.34,161
427,2011-01-19,1,0,1,19,0,3,1,1,0.32,112
428,2011-01-19,1,0,1,20,0,3,1,1,0.32,76
429,2011-01-19,1,0,1,21,0,3,1,1,0.32,59
430,2011-01-19,1,0,1,22,0,3,1,1,0.3,59
431,2011-01-19,1,0,1,23,0,3,1,1,0.3,28
432,2011-01-20,1,0,1,0,0,4,1,1,0.26,13
433,2011-01-20,1,0,1,1,0,4,1,1,0.26,5
434,2011-01-20,1,0,1,2,0,4,1,1,0.26,2
435,2011-01-20,1,0,1,3,0,4,1,1,0.26,1
436,2011-01-20,1,0,1,4,0,4,1,1,0.26,1
437,2011-01-20,1,0,1,5,0,4,1,1,0.24,6
438,2011-01-20,1,0,1,6,0,4,1,1,0.22,35
439,2011-01-20,1,0,1,7,0,4,1,1,0.22,101
440,2011-01-20,1,0,1,8,0,4,1,1,0.22,249
441,2011-01-20,1,0,1,9,0,4,1,2,0.24,143
442,2011-01-20,1,0,1,10,0,4,1,1,0.26,57
443,2011-01-20,1,0,1,11,0,4,1,2,0.28,68
444,2011-01-20,1,0,1,12,0,4,1,2,0.3,84
445,2011-01-20,1,0,1,13,0,4,1,2,0.28,98
446,2011-01-20,1,0,1,14,0,4,1,2,0.3,81
447,2011-01-20,1,0,1,15,0,4,1,2,0.32,70
448,2011-01-20,1,0,1,16,0,4,1,2,0.3,91
